"site","year","med","ci.lo95","ci.hi95"
"OKRE",2017,0.104848461152325,0.0131782720752002,0.534475278223108
"OKRE",2018,0.124870433538494,0.014371638155912,0.497405299155225
"OKRE",2019,0.0654900502105966,0.00779067025206365,0.38506256843462
"OKRW",2006,0.0352723306335292,0.00276166268447832,0.298905106038616
"OKRW",2007,0.0269076043958999,0.00238234349715159,0.223916036400235
"OKRW",2008,0.170567462914926,0.0318145762536985,0.509095538246534
"OKRW",2009,0.203855668628094,0.0195755718542299,0.753386516521653
"OKRW",2010,0.304252953248076,0.0304278513203864,0.842384871475868
"OKRW",2011,0.245241074214986,0.0346978341368958,0.675848073471269
"OKRW",2012,0.0280622014811985,0.00207730762197336,0.228459970393724
"OKRW",2013,0.024322836580266,0.00145694770946524,0.162605733630863
"OKRW",2014,0.0665445059702625,0.00275891226879314,0.595324988146024
"OKRW",2015,0.0568110345339102,0.00321273346730041,0.461458465209205
"OKRW",2016,0.073232078824964,0.00243011582174753,0.75177349457279
"OKRW",2017,0.0758823119848192,0.00944319605688326,0.5003527867044
"OKRW",2018,0.0744651095181992,0.00511226660324053,0.651728475426163
"OKRW",2019,0.159122660964571,0.0251720418660586,0.517323413119517
"OSR",2006,0.0457320010627092,0.00291653477523864,0.428328185776186
"OSR",2007,0.122995376665688,0.00877448292005219,0.68001820836654
"OSR",2008,0.391349020698701,0.047027984306781,0.866961956070022
"OSR",2009,0.565503047622704,0.160867205669588,0.86003880858486
"OSR",2010,0.47799779460953,0.0728969407765265,0.909906032029409
"OSR",2011,0.293269891263003,0.0357391731736586,0.824224413091998
"OSR",2012,0.130038445578618,0.0093147446459695,0.681056387220332
"OSR",2013,0.0094378916706251,0.000923470749727175,0.0695296990750481
"OSR",2014,0.113097711326926,0.00403946066500576,0.780422298995196
"OSR",2015,0.0141919670957595,0.00135090258565648,0.0900538425445821
"OSR",2016,0.13876368446499,0.00460667690949349,0.806436163998616
"OSR",2017,0.101562866013496,0.00498269015362529,0.677890145788508
"OSR",2018,0.123770220326165,0.00478049487365079,0.754176922821795
"OSR",2019,0.120573678094082,0.00831585542951506,0.612817366558913
"S22",2006,0.272711581770415,0.0245065711364271,0.834138582710177
"S22",2007,0.0176484709682051,0.00139982704298822,0.13566933970221
"S22",2008,0.149018637180964,0.0178247551683869,0.612629818975031
"S22",2009,0.290273267393046,0.0303659517913265,0.801465486078676
"S22",2010,0.337535087209933,0.0381650068147565,0.864652022681015
"S22",2011,0.389755752410659,0.0468118677291961,0.891118676225277
"S22",2012,0.00782567439404344,0.000808542504981789,0.0521020291052235
"S22",2013,0.0103233911250653,0.00105030995267991,0.0508538657590872
"S22",2014,0.122487061671208,0.00387584699769646,0.790049662801228
"S22",2015,0.0461233932789374,0.00435616424634805,0.310557719740807
"S22",2016,0.23446890250195,0.0170186371806342,0.823275926228829
"S22",2017,0.202448848342415,0.0136305316703085,0.725618740492147
"S22",2018,0.100820324676418,0.00467185067242435,0.796149363179631
"S22",2019,0.479732323601526,0.238675285120903,0.731653287798159
"SM",2006,0.031802464230572,0.00359909454910852,0.138035332212856
"SM",2007,0.0652046916285492,0.00409405447909108,0.507230289343385
"SM",2008,0.268572558597975,0.0229720691147665,0.833843300671876
"SM",2009,0.249687618474972,0.0208101205646146,0.826114453804803
"SM",2010,0.259567033060219,0.0255528478407814,0.813888712756416
"SM",2011,0.371112341136068,0.0414233483019914,0.890860825612648
"SM",2012,0.0273305885264889,0.00280466005188498,0.123846567742553
"SM",2013,0.0448986503394379,0.00316115659556963,0.343077826968044
"SM",2014,0.109846070928196,0.00432015663075306,0.749112332694313
"SM",2015,0.117520979851994,0.0170274773300391,0.391624913021132
"SM",2016,0.0203901304552294,0.00169274977329283,0.200557743864031
"SM",2017,0.0223812682954214,0.00173824333145561,0.168848193281523
"SM",2018,0.0935101652578939,0.00416826073935533,0.744449171359342
"SM",2019,0.519328773624171,0.0632109807113392,0.934393866482978
"URS",2006,0.13042843516055,0.00824771778193032,0.595844351585919
"URS",2007,0.0290805130773197,0.00259873390929409,0.198959796676711
"URS",2008,0.0842097051076745,0.00890204420173071,0.400610575058279
"URS",2009,0.0524781911709562,0.00508161595620705,0.304125155492059
"URS",2010,0.160919151912475,0.0142174576501993,0.663319123906573
"URS",2011,0.296380050437492,0.0253057963868226,0.847981681044577
"URS",2012,0.112632808040071,0.00768397706809814,0.570767268879994
"URS",2013,0.0474654030827668,0.00283958208637449,0.314302192919464
"URS",2014,0.0805902953781858,0.00422614368398258,0.501760275102069
"URS",2015,0.0776131070119255,0.00530190895434297,0.53270155168266
"URS",2016,0.0989854888318707,0.00716127793381377,0.645412141060038
"URS",2017,0.163870203571622,0.0131731068538667,0.608713141090956
"URS",2018,0.0915106948413901,0.00682343785442293,0.568001135695712
"URS",2019,0.0723423621469475,0.00465414855256814,0.455993009239865
